url,article
,"팬데믹을 거치며 삶의 관점이 보다 가치 중심적인 라이프로 무게중심이 이동됐다. 이를 대변하는 것이 웰니스(Wellness) 라이프 스타일이다. 

웰니스(Wellness)란 신체적, 정신적 건강 + 사회적 건강 + 환경적 건강 등 삶의 다양한 차원에서 건강함을 바탕으로 자신만의 원하는 삶을 살아가는 자기실현 라이프 스타일이다.

좋은 옷을 입는 것을 포함, 좋은 삶을 영위하는 것으로 나아가는 라이프스타일의 변화에 따라, 이제는 보다 통합적인 개념의 ‘웰니스(Wellness)’가 패션과 짝을 이루는 키워드가 2024년의 새로운 화두로 떠오를 것으로 전망된다. 

웰니스는 건강과 뷰티, 헬스케어, 식음료 분야 등에 많이 쓰이는데 사실 웰니스의 개념은 단순한 건강을 의미하지 않으며 더 광범위한 삶에 대해서 다루어지고 있다. 

웰니스 라이프는 단순히 운동이나 식습관 같은 신체적인 부분만 다루는 것이 아니라 정신적인 것 그리고 삶에서 살아가는 실질적인 것, 무엇보다 인간의 가장 높은 욕구에 해당하는 '자기실현', '목적 있는 삶'의 방향성과도 연결되어 있다.

따라서 패션에서도 소비자들이 지향하는 웰빙과 ‘좋은 삶’을 추구하는 경향과 발맞춰, 건강한 생활과 긍정적인 마인드의 중요성을 부각시키는 애슬레저(Athleisure) 영역에서 비즈니스 기회를 엿본다. 

올해 가시적이었던 스포츠 브랜드의 성장과 아웃도어 브랜드들의 재도약 역시 같은 맥락에 있다"
,"편의점 도시락으로 점심을 때우면서 명품 가방을 산다!” 

“하루의 플렉스를 즐기는 데 가진돈을 모두 쓸 수 있다.”

부자는 못 될지언정 부자 체험을 해보는 것은 중요하며, 삶은 선택의 연속이라지만 꼭 선택해야 할 것도 없다. 열심히 살되, 치열한 삶은 내려놓을 준비가 된 것이다. 

목에 칼이 들어와도 자기 취향은 포기하지 않아서 종잡을 수 없는 요즘 문화소비자, 그리고 시대적 가치 변화를 묵묵히 받아들이는 기성세대 모두가 이러한 트렌드 변화 속에서 한 방향으로 나아가고 있다. 

경제적 합리성을 생각하면서도 한편으로는 자신에게 가장 큰 행복을 안겨주는 상품을 소비하며 문화를 풍부하게 즐기는 ‘이코노-럭스(Econo-Lux)’ 문화소비자가 나타나고 있다. 

이제 ‘럭셔리’의 의미는 세대마다 사람마다 다르게 해석되고 있다.

검소하면서도 럭셔리하고 대중적이면서도 고급진, 지역적이면서도 글로벌한 양면적인 모습을 지니고 있다. 

멀티플 N의 시대를 살아가는 그들은 자기만의 고유하고 역동적인 기준에 따라 경제적으로 합리적이면서도 자신에게 가장 큰 만족감과 행복함을 주는 제품과 서비스를 소비한다.

대체제가 너무 많은 시장에서, 얼마나 색다르고 특별한 경험을 제공하느냐에 따라 사람들의 흥미나 관심도가 달라지는 것이다. 

브랜드와 관련된 색다른 경험을 제공하는 ‘팝업스토어, 리미티드 에디션, Chat GPT’가 중요해진 이유다."
,"소비자들은 이제 브랜드의 사회적 입지나 전통을 따지기 보다 자신이 가신 사회적, 정서적 가치를 얼마나 잘 대변해 주는지를 더 중시하게 생각한다.

따라서 이제는 소비자의 지불 의향에 포커스를 맞춘 가격 전략이 중요해졌다.

소비자의 지불 의향을 정확히 파악하는 빅데이터의 활용과 실시간으로 모든 변수를 측정해내는 AI의 발달은 시간, 장소, 유통 채널에 따라 가격이 달라지는 일몰N가의 세상을 열고 있다. 

‘일물일가’의 법칙은 같은 물건이라면 세계 어디에서나 가격이 같아야 한다는 가방 일반적인 경제 법칙 중 하나다.

하지만 이미 현실 세계에서는 일물일가 법칙이 완벽하게 적용되기 쉽지 않다. 

운송비나 수수료 등 비용 차이가 발생할 수 있고 각국 정부의 보호무역 정책도 항상 변수로 작용한다. 

특히 같은 물건이라도 소비자의 구매 패턴과 선호도를 파악하고 상황에 따라 다른 가격을 제시해야 하는 유통 기업들 입장에서는 일물N가의 법칙이 활용도 더 높을 수 있다.

구글은 항공권 검색 서비스 ‘구글 플라이트’에 AI 기반 서비스를 도입해 소비자의 최적화된 항공권 검색을 지원한다. 항공권 요금이 더 낮아질 가능성이 없다고 판단되는 경우 ‘최저가 보장’ 인증 마크를 붙이는 방식을 사용한다. 만약 최저가 보장 인증 마크가 붙은 항공권을 구매한 이후 더 낮은 가격의 항공권이 발견되면 구글에서 차액을 환불해 준다.

2017년 서비스를 개시한 한국 스타트업 트렌비는 명품 중고 거래 영역에서 강자로 부상하고 있다. AI 기술을 활용해 국내외 매장을 모두 추적해 에르메스, 샤넬 등 럭셔리 브랜드 제품의 최저가 구매를 지원한다. 

특히 “외형만으로 제품을 정확히 알기 어렵다”는 소비자 수요를 반영해 사진으로 제품을 분류하고 정품 여부를 감정 인증하는 서비스도 제공한다."
,"미국의 글로벌 색채연구소 팬톤이 2024년 올해의 컬러로 평화와 평온을 떠올리게 하는 가벼운 느낌의 과일 색조 '피치 퍼즈(Peach Fuzz, 팬톤 13-1023)'를 선정했다.

팬톤은 7일(현지시간) 피치 버즈가 새로운 부드러움에 대한 신선한 접근방식을 제시한다고 평가하며 미묘하게 관능적인 복숭아 색조로 부드러움을 선사하고 배려와 나눔, 공동체와 협업의 메시지를 전달한다고 설명했다.

피치 퍼즈(Peach Fuzz)는 팬톤이 발표한 2024년 올해의 공식 컬러로 팬톤의 연간 색상 예측 25주년을 기념하는 컬러이기도 하다. 

팬톤컬러연구소의 색상 전문가인 리트리스 아이즈먼은 CNN과의 인터뷰에서 “우리는 삶에서 많은 혼란을 겪고 있으며, 우리를 보살피는 색상이 필요하다”고 설명했다.

이어 ""분홍색(Pink)과 오렌지(Orange) 사이에 부드럽게 자리잡은 벨벳처럼 부드러운 복숭아색(Peach)은 모든 것을 포용하는 정신으로 몸과 마음, 영혼을 풍요롭게 한다""고 밝혔다.

또한 팬톤은 “피츠 퍼즈는 따뜻하고 아늑한 색조며 매우 촉각을 자극한다”라며 “지금처럼 혼란한 때일수록 다른 사람들을 만지고 집으로 모을 수 있는 촉각을 통한 자극이 정말 중요하다고 느낀다”고 강조했다.

한편 복숭아 톤은 지난 9월 이탈리아 밀라노에서 열린 2024 S/S 패션쇼에서 구찌, 질 샌더, 스포츠막스 등 대표적인 럭셔리 브랜드들이 관능적인 분위기의 복숭아빛 컬러를 대거 선보인 색상이다.

지난 3월 지난 3월 캘리포니아 베벌리힐스에서 열린 베니티 페어 오스카 파티에서 힐러리 더프가 란제리에서 영감을 받은 복숭아색의 돌체 앤 가바나 드레스를 입은 바 있다.

우마 서먼도 한 시상식에서 프라다 컬렉션의 복숭아색 드레스를 입고 참석했다"
https://www.fashionbiz.co.kr/207807,"요즘 젊은 친구들은 말이야…’에서 ‘젊은 친구’를 담당하고 있는 ‘Z세대’는 과연 어디서 옷을 살까? 1996년부터 2010년에 태어난 이들을 지칭하는 용어인 Z세대, 이른바 ‘젠지세대’는 대한민국 청년층의 주축으로서, 빠르게 변화하는 패션 시장에 막강한 영향력을 미치고 있다. 이들이 입는 옷은 곧 유행이 되고 흐름이 되며, 이 파도에 잘 올라탄 브랜드만이 ‘핫한 브랜드’라는 명예로운 칭호를 얻을 수 있다.

 

Z세대는 2023년 12월 기준 우리나라 전체 인구의 약 17%를 차지하고 있다. 이들은 ‘디지털 원주민(Digital Native)’이라는 별명을 가진 세대답게 온라인과 모바일 기기 사용에 능숙하고, 신기술에 민감하며, 소비활동에도 이를 적극적으로 활용하는 특성이 있다. 소셜 미디어를 일상적으로 사용하고 신중한 소비를 지향하는 등 이전 세대와는 다른 Z세대의 변칙적인 움직임은 기업의 마케팅 전략에도 큰 반향을 일으키고 있다.

 

이전에는 적극적으로 활용하지 않았던 유튜브와 인스타그램 등 온라인 플랫폼을 통해 제품을 홍보하는가 하면, 신중한 소비 성향을 고려한 가치소비 마케팅, 생산자와 얽힌 브랜드 스토리를 공유하는 스토리텔링형 브랜딩에 더욱 집중하고 있는 것. 단편적인 스타일 유행을 넘어 기업의 브랜딩과 마케팅 전략까지 영향을 주고 있는 Z세대의 존재감을 결코 무시할 수 없는 실정이다.

 

그렇다면 이들은 어디에서 옷을 살까? 또 어떤 방식으로, 어느 브랜드를 주목하고 있을까? 한 달에 의복 구매에 사용하는 비용은 어느 정도인지, 일 년에 몇 벌의 옷을 구매하는지 등 유행을 선도하는 거대 소비 집단인 Z세대의 패션 소비 패턴을 분석하고, 미디어에서 다루고 있는 모습과 이들의 실제 상품 구매 행동에는 어떤 차이가 있는지 살펴봤다. 

 

이들은 전자기기에 익숙한 세대답게 오프라인보다 온라인 구매를 더 선호하는 것으로 나타났다. 합리적인 가격과 쉽고 빠르게 여러 상품을 살펴볼 수 있다는 점이 크게 작용했다. 그러나 전자기기에 익숙한 Z세대라고 해서 꼭 온라인에서만 옷을 구매하지는 않았다. 의류 특성상 색감과 소재, 상세한 치수와 핏 등 오프라인에서 확인해야만 알 수 있는 정보들이 많기 때문이다.

 

이렇듯 다양한 질문을 구성해 약 400명의 소비자들에게 설문조사를 실시했다. 또 연령별로 구간을 나눠 실제 Z세대 소비자들의 의견을 담은 짧은 인터뷰도 진행했다. 거시적인 소비 행태에 대한 질문 외에도 ‘가장 자주 입는 브랜드’ ‘요즘 들어 관심이 가는 브랜드’ 등 실생활에 밀착한 질문을 구성해 이들의 라이프스타일과 취향을 들여다봤다."
,"Z세대 61% ‘온·오프’ 고르게 이용

이번 설문에는 총 384명의 Z세대(1996~2010년생)가 참여했다. 1996~2000년생(57.8%), 2001~2005년생(36.5%), 2006~2010년생(5.7%)으로 20대 중후반의 답변 비율이 가장 높았으며, 남성 58.9%와 여성 41.1%로 남성 답변자가 17%포인트 더 많았다. 이들의 쇼핑 패턴을 구체적으로 알아보기 위해 온·오프라인 쇼핑 이용에 대한 질문을 던졌다. 온·오프라인 모두 이용 61.5%, 온라인만 이용 35.4%, 오프라인만 이용 3.1%로 오프라인보다 온라인 환경에서 쇼핑하는 것을 더 선호한다는 것을 알 수 있었다.

 

온라인만 이용한다고 답변한 사람 대부분(80.9%)이 무신사, 29CM, 지그재그와 같은 패션 플랫폼에서 쇼핑을 하는 것으로 나타났다. 뒤이어 블로그, 인스타 마켓 등 보세 쇼핑몰5.9%, 쿠팡 등과 같은 오픈마켓 4.5%, 빈티지·온라인 편집숍·브랜드 공식몰이 각각 2.9%로 나왔다. 오프라인만 이용한다고 답한 사람은 백화점과 복합몰을 주로 이용하는 것으로 나타났다.

 

온·오프라인을 모두 이용한다고 답변한 이들에게는 그들의 구체적인 이용 비율을 물었다. [온라인:오프라인 이용 비율] 답변 결과 8:2(33.1%), 7:3(21.2%), 6:4(19.5%), 5:5(8.5%), 9:1(5.9%) 순으로 결과가 나왔다. 오프라인보다 온라인을 선호한다가 거의 80%로 높은 수치를 나타냈다.

 

이들이 이토록 온라인을 선호하는 이유는 무엇일까? 가장 많이 나온 의견으로는 온라인이 오프라인보다 가격 면에서 저렴해 온라인으로 제품을 구매한다는 답변이 대부분이었다. 할인 쿠폰과 한시적 타임 세일, 각 패션 플랫폼의 적립금 등 온라인 특화 전략이 크게 작용한 것으로 보인다."
,"그다음 이유로는 온라인 구매의 편리함을 꼽았다. 오프라인보다 더 다양한 상품을 빠르고 쉽게 비교할 수 있는 온라인에서 실시간으로 가격을 확인하고 디자인을 살펴보며 시간과 체력을 아낄 수 있다는 것이다. 구매를 원하는 상품의 매장이 멀거나 오프라인 매장에서 전개하지 않고 온라인에서만 판매하는 경우 소비자들은 대부분 온라인 쇼핑을 선택했다.

 

또 주요 플랫폼의 경우에는 큐레이팅 서비스, 즉 제품 추천과 소개 콘텐츠 등을 통해 기존에 알지 못했던 브랜드를 쉽게 알 수 있다는 점을 주요 이유로 언급했다. 실제 핏과 사이즈, 색감과 같은 물리적인 부분에서도 온라인에 구매자가 작성한 후기들이 자세히 나와 있어 이 부분을 활용하면 만족스러운 쇼핑 또한 가능하다고 답하기도 했다.

 

이러한 온라인의 장점에도 불구하고 오프라인에서 구매한다는 비율도 꽤 있었다. ‘온라인은 피팅이 불가해 사이즈가 딱 맞는 옷을 구매하기 어렵다’ ‘오프라인의 가격이 온라인에 비해 조금 더 비싸더라도 색감과 원단을 직접 확인하고 싶어 오프라인을 선호한다’ ‘온라인과 다르게 배송을 기다릴 필요 없다’ 등이 오프라인을 선호하는 주요 이유로 꼽혔다. 또 ‘온라인에는 많은 브랜드가 있어 무엇을 구매해야 할지 모르겠다’라는 의견도 있었다."
,"Z세대가 오프라인에서 쇼핑을 한다면 주로 어디를 갈까. 선호하는 쇼핑 지역을 묻는 질문에 성수동(20%)을 자신의 최애 쇼핑 지역으로 꼽았다. 뒤이어 홍대(14.7%), 한남동(9.5%), 압구정동(4.7%), 명동(3.7%), 가로수길(3.2%) 등이 이름을 올렸다.

 

많은 소비자들이 다양한 브랜드 스토어 및 편집숍, 플래그십스토어가 한 지역에 있어 한 번에 많은 아이템을 볼 수 있는 편리함 때문에 성수동을 찾는다고 답했다. 다른 지역에 비해 상대적으로 매장 간 거리는 멀지만 가는 길목 길목마다 다양한 팝업스토어와 쇼룸 등이 즐비해 지루하지 않고 한 곳 한 곳 들러 쇼핑하는 재미가 있다는 의견도 있었다.

 

홍대는 빈티지와 보세 제품을 취급하는 매장이 많아 가볍게 구경하면서 쇼핑하기 좋다는 의견이 대다수였고 압구정로데오는 도메스틱부터 하이엔드 브랜드까지 다양한 카데고리의 제품을 만나볼 수 있어 찾는다고 답한 이들이 많았다."
,"Z세대는 과연 의류 구매에 얼마를 투자하고 있을까. ‘한 달에 평균적으로 패션에 소비하는 금액’에 대한 물음에서는 과반수에 가까운 사람이 10만원 이상 30만원 미만(46.9%)을 선택했다. 이어 10만원 미만(32.8%)과 30만원 이상 50만원 미만(17.2%)이 뒤를 이었다. 또 의류 구매가 총소비에서 차지하는 비중에 대한 물음에서는 47.1%의 소비자들이 ‘10% 이상 30% 미만’을 선택했다.

이어 1년 동안 몇 벌의 의류를 구매하는가에 대한 질문에서는 과반수가 ‘10벌 이상 30벌 미만(55.7%)’을 골랐다. 1년에 옷을 10벌도 구매하지 않는 소비자는 29.2%로 전체의 3분의 1 수준이었고, 30벌 이상 구매하는 ‘쇼핑 마니아’들은 14.6%를 차지했다.

‘의류 구매 시 가장 중요하게 생각하는 것’에 대한 물음에서는 ‘디자인’이 42.7%의 비율로 가장 높았으며, 이어 ‘핏’과 ‘품질’이 각각 34.4%와 10.4%의 비율을 보였다. 또 ‘주로 구매하는 패션 아이템’에 대한 질문에서는 58.3%의 응답자가 ‘상의’를 골랐고 ‘아우터’와 ‘하의’가 각각 17.7%와 15.6%로 뒤를 이었다."
,"가격 측면이 크게 작용한 것일까. Z세대 소비자 남자와 여자 모두 ‘제일 자주 입는 브랜드’에 대한 주관식 질문에서 SPA 브랜드 ‘유니클로’와 ‘자라’, 글로벌 스포츠 브랜드 ‘나이키’ 등 비교적 가성비가 좋은 브랜드들을 응답했다.
유니클로와 나이키를 제일 자주 입는다고 해서 이 브랜드에 가장 관심이 많은 것은 아니었다. ‘요즘 관심을 갖고 있는 브랜드’에 대한 물음에서 남성 소비자는 ‘폴로’ ‘러프사이드’ ‘쿠어’ 등의 해외 브랜드들과 국내의 신예 브랜드를 언급했다. 여성 소비자들은 ‘미스치프’ ‘자라’ ‘산산기어’ 등의 브랜드를 언급했다.
디지털 원주민인 Z세대답게 ‘어디서 패션 스타일을 참고하는가’에 대한 질문에서 응답자의 3분의 1이 넘는 38.5%가 인스타그램을 참고한다고 밝혔다. 이어 유튜브가 16.1%, 핀터레스트가 10.3%였고 패션 매거진이 7.2%, 패션커뮤니티가 4.4%였다. 특히 남성 소비자들은 인스타그램 다음으로 유튜브를, 여성 소비자들은 인스타그램 다음으로 핀터레스트를 꼽았다. "
https://www.vogue.co.kr/2024/01/10/%EC%A7%80%EA%B8%88-%EC%95%8C%EC%95%84%EC%95%BC-%ED%95%A0-2024%EB%85%84-%EC%A3%BC%EC%9A%94-%ED%8C%A8%EC%85%98-%ED%8A%B8%EB%A0%8C%EB%93%9C/,"2024년 가장 주목받은 컬렉션을 꼽으라면, 단연 무대 없이 치러진 피비 파일로의 온라인 컬렉션입니다. 피비 파일로가 셀린느를 떠난 지 5년 만의 복귀작이었으며, 예정된 9월 공개 일정이 미뤄지자 한 달 내내 피비에 대한 이야기로 패션 계정이 떠들썩할 정도였죠. 일정을 미룬 것이 2024 S/S 컬렉션 디자이너들을 배려하기 위함이었는지, 컬렉션의 화제성을 높이기 위한 전략이었는지는 알 수 없지만, 완판 행렬을 이어가며 브랜드 가치를 입증했습니다.
떠나는 사람도 새로 등장한 인물도 있었죠. 2024 S/S 컬렉션을 끝으로 사라 버튼은 알렉산더 맥퀸을 떠났고, 가브리엘라 허스트 또한 마지막 끌로에 컬렉션을 선보였습니다. 그런가 하면 톰 포드가 떠난 자리를 피터 호킹스가 차지했고, 구찌는 사바토 데 사르노, 헬무트 랭은 피터 도, 까르벵은 루이스 트로터가 새로이 등장했죠. 케어링 그룹 중 여성이나 유색인종이 이끄는 패션 브랜드는 단 한 곳도 없다는 점이 문제로 떠오르기도 했고요."
https://www.vogue.co.kr/2024/05/17/%ed%8c%ac%ec%b8%a0%ec%99%80-%ec%9b%90%ed%94%bc%ec%8a%a4-%ec%a7%80%ea%b8%88%eb%b6%80%ed%84%b0%eb%8a%94-%ec%9d%b4%eb%a0%87%ea%b2%8c-%ec%a7%9d%ec%a7%80%ec%9c%bc%ec%84%b8%ec%9a%94/,"팬츠 위에 원피스는 2000년대를 빼놓고 논할 수 없는 패션입니다. 당시 셀럽들은 일상에서뿐 아니라 레드 카펫에서도 거리낌 없이 즐겨 입었죠.
20년이 지난 지금, 이 조합은 단순히 향수를 불러일으키는 패션이 아닙니다. 동시대의 손길을 거쳐 현대적이고 세련된 모습으로 탈바꿈했죠. 미니멀, 캐주얼, 보헤미안 모두 다 가능합니다. 스타일과 연령 불문 모두가 즐길 수 있는 매치로 자리 잡았다는 뜻입니다. 2000년대에는 브리트니 스피어스의 음악을 즐겨 듣는 10대들의 전유물이었을지 몰라도요.
팬츠 위에 원피스는 2024 S/S 런웨이에도 빠지지 않고 등장했습니다. 스트리트 패션을 사로잡은 지는 이미 오래고요. 2024년에는 튜닉 원피스와 보헤미안 드레스, 테일러드 팬츠와 미니 드레스 등 다양한 범위의 아이템이 동원됩니다. 스타일링도 훨씬 더 유연하고 정교하죠. 함께 살펴볼까요?
올 봄과 여름에는 블라우스를 비롯한 상의가 더 이상 필요하지 않을지도 모르겠습니다. 리틀 블랙 드레스만 있다면요! 브랜든 맥스웰이 2024 S/S 컬렉션에서 보여준 것처럼 클래식한 블랙 드레스에 플레어 팬츠를 입어보세요(당연히 팬츠 색깔은 블랙이어야겠죠). 은은하게 흐르는 레트로 무드와 함께 우아하고 미니멀한 멋을 장착할 수 있습니다.
보헤미안 드레스와 청바지는 보장된 조합입니다. 단, 이때는 스트레이트, 슬림 진이 적합해요. 와이드 데님은 부해 보일 수 있거든요. 드레스는 오간자처럼 얄브스름한 소재일수록 좋겠고요. 짐머만은 레이스 디테일과 플로럴 모티브가 돋보이는 롱 드레스로 로맨틱 무드를 강조했습니다."
,"여름의 느긋한 분위기를 담기에 제격입니다. 특히 바람이 솔솔 부는 해변가에서 빛을 발할 조합이지요. 알베르타 페레티는 셔츠 드레스의 단추를 풀어 무게감을 덜어냈군요. 팬츠는 파자마처럼 허리 부분이 밴딩이나 드로스트링이면 좋겠습니다. 셔츠 드레스의 가뿐함에 장단을 맞출 수 있도록요.
사바토 데 사르노는 구찌 데뷔 쇼에서 플리츠 주름이 잡힌 1970대식 와이드 데님과 비즈, 프린지 장식을 수놓은 미니 드레스를 한데 붙였습니다. 캐주얼과 우아함을 오가는, 재미있는 실루엣이 탄생했죠. 시종일관 반짝이는 드레스는 룩에 생기를 불어넣었고요.
"
,"드레스와 팬츠는 조르지오 아르마니의 클래식 매치 중 하나입니다. 다채로운 텍스처와 커팅 디테일을 꾸준히 선보여왔죠. 2024 S/S 시즌에는 실크 소재의 스트랩리스 뷔스티에와 시가렛 팬츠를 결합했는데요. 눈여겨봐야 할 건 디테일입니다. 허리선을 감싼 두꺼운 벨트, 카멜과 블루 컬러의 조화, 플랫한 앵클 부츠까지, 신선하고 조화롭습니다.
"
https://www.vogue.co.kr/2024/02/06/2024%eb%85%84%ec%97%90%eb%8f%84-%ec%9d%b4%ec%96%b4%ec%a7%88-%eb%85%bc%ec%9f%81%ec%a0%81%ec%9d%b8-%ed%8a%b8%eb%a0%8c%eb%93%9c-5/,"해외 셀럽들의 전유물로만 여겨지던 팬츠리스 트렌드가 최근 국내에도 빠르게 퍼지고 있습니다. 런웨이도 당분간 멈출 생각이 없는 듯하고요. 거리에서는 마이크로 쇼츠처럼 하의를 짧게 입은 실루엣이 자주 보이겠군요.
"
,"이미 데일리 스타일링으로 자리 잡았죠. 이제 더 이상 2000년대 레트로 무드만 내세우지 않습니다. 여성복뿐 아니라 남성복에서도 두각을 드러내고 있고요. 온라인 패션 플랫폼 스타일라이트(Stylight)가 최근 발표한 보고서에 따르면 이 스타일에 대한 구글 검색량이 37%나 증가했다고 하죠.
"
,"호불호가 치열하게 갈리는 아이템일수록 트렌드가 될 가능성이 높아집니다. 허벅지부터 발목까지 원을 그린 것처럼 둥글게 떨어지는 실루엣, 배럴 진도 그중 하나죠. 스키니 진만큼 뜨거운 논란을 불러왔으니까요. 예의 주시할 필요가 있죠. 호스슈, 벌룬 등 정도에 따라 별명도 다양합니다."
,"슬립 스커트의 인기도 지난해보다 더 높아질 듯합니다. 올해엔 1990년대 미니멀 패션의 본격적인 전성기가 시작될 테니까요. 속이 훤히 비치는 시스루까진 아니더라도 찰랑한 새틴 소재의 스커트 한 벌 정도는 마련해도 좋겠습니다. 무엇보다 안 입은 것처럼 편안합니다.
이제 알록달록한 스타킹에 대한 거부감은 사라졌습니다. 올겨울 모든 곳에서 발견된 레드 스타킹 덕분이죠. 다리를 물들이는 재미에 푹 빠진 우리, 이제 다음 컬러를 슬슬 찾아나설 때입니다. 최근 샤넬 2024 S/S 꾸뛰르에 오른 화이트 스타킹이 자꾸 눈에 밟히긴 하더군요."
https://www.vogue.co.kr/2024/01/03/2024%eb%85%84%ec%97%90%eb%8a%94-%eb%8b%ac%ec%bd%a4%ed%95%98%ea%b2%8c-%ec%9e%85%ec%96%b4%ec%95%bc-%ed%95%9c%eb%8b%a4-%ed%8a%b8%eb%a0%8c%eb%93%9c-%ec%bb%ac%eb%9f%ac-6/,"블랙과 그레이, 화이트와 브라운. 조용한 럭셔리와 올드 머니 스타일의 여파 때문일까요? 2023년 우리의 옷장을 채운 색은 한없이 의젓했습니다(다행히 레드가 활기를 불어넣긴 했죠). 익숙하고 차분한 컬러 덕에 옷 입기는 편했어요. 딱 그만큼 컬러에 대한 갈증도 조금씩 커져갔지만요.

그런 우리의 마음을 알아준 건 2024 런웨이입니다. 올해는 조금 더 알록달록해지자고 말하고 있죠. 원색적인 컬러로 요란했다는 게 아니에요. 파스텔 색조로 컬러풀한 세상에 조심스럽게 발걸음을 뗐거든요. 그 모습은 유약해 보이면서도 로맨틱하고 또 상냥했습니다. 그중 키 컬러 여섯 가지를 가져왔어요. 미리 익혀두자고요, 올봄부터 거리는 지금부터 소개하는 컬러로 흠뻑 달콤해질 테니까요!
올해의 팬톤 컬러기도 하죠. 핑크보다 우아하고 오렌지색보다 순한 피치 퍼즈! 광택이 은은하게 도는 실크 소재 아이템을 선택해보세요. 걸을 때마다 찰랑이는 실루엣이 컬러의 매력을 극대화할 겁니다.
지난 몇 시즌간 꾸준히 트렌드의 문을 두드린 버터 옐로, 올봄에 본격적으로 빛을 보겠습니다. 지나치게 영해 보이지 않을까 걱정된다면 포멀한 블레이저나 셔츠, 벨트 같은 액세서리로 균형을 맞춰보세요. 딱딱한 셰이프와 포근한 컬러감이 우아한 조화를 이룹니다.
새파란 물감에 베이비파우더를 솔솔 뿌린 것만 같습니다. 함께 입기 좋은 컬러는 브라운이 되겠고요. 프린지나 리본 등 페미닌한 디테일이 가미된 디자인은 여름에 입기 제격입니다.
민트에 우유 한 방울을 섞은 듯하군요. 싱그러운 느낌을 내기 좋습니다. 과하지 않은 컬러감 덕에 올 컬러 룩도 문제없고요. 펜디처럼 쨍하고 팝한 컬러를 포인트로 활용한다면 시너지 효과를 낼 수 있습니다.

"
,파스텔 컬러 중 가장 우아하고 성숙한 색 아닐까요? 맥시한 길이의 이브닝 드레스로 도전해보세요. 장식 디테일 없이 미니멀한 디자인으로 선택해도 좋습니다. 차분한 보랏빛이 봄밤을 향긋하게 만들어줄 테니까요.
,"모노톤
흰색, 검정, 회색 계통의 컬러입니다.
남자분들이 가장 즐겨 입으시는 모노톤은 어떤 분위기에서도 세련되고 고급진 멋을 나타내기 때문에 쉽게 매칭하실 수 있습니다.
모던한 감각의 색상으로 심플한 멋을 가지고 있습니다."